kokoro-multi-lang-v1_0 | 300MB | en,zh | kokoro | vocoder=False
kokoro-multi-lang-v1_1 | 300MB | en,zh | kokoro | vocoder=False
matcha-icefall-zh-baker | 64MB | zh | matcha | vocoder=True
matcha-icefall-zh-en | 64MB | en,zh | matcha | vocoder=True
sherpa-onnx-vits-zh-ll | 64MB | zh | vits | vocoder=False
vits-melo-tts-zh_en | 155MB | en,zh | vits | vocoder=False
vits-piper-zh_CN-huayan-medium | 64MB | zh | vits | vocoder=False
vits-zh-aishell3 | 64MB | zh | vits | vocoder=False
vits-zh-hf-abyssinvoker | 64MB | zh | vits | vocoder=False
vits-zh-hf-bronya | 64MB | zh | vits | vocoder=False
vits-zh-hf-doom | 64MB | zh | vits | vocoder=False
vits-zh-hf-echo | 64MB | zh | vits | vocoder=False
vits-zh-hf-eula | 64MB | zh | vits | vocoder=False
vits-zh-hf-fanchen-C | 64MB | zh | vits | vocoder=False
vits-zh-hf-fanchen-ZhiHuiLaoZhe | 64MB | zh | vits | vocoder=False
vits-zh-hf-fanchen-ZhiHuiLaoZhe_new | 64MB | zh | vits | vocoder=False
vits-zh-hf-fanchen-unity | 64MB | zh | vits | vocoder=False
vits-zh-hf-fanchen-wnj | 64MB | zh | vits | vocoder=False
vits-zh-hf-keqing | 64MB | zh | vits | vocoder=False
vits-zh-hf-theresa | 64MB | zh | vits | vocoder=False
vits-zh-hf-zenyatta | 64MB | zh | vits | vocoder=False
